"releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"64249289","YouTube","Gameday | Jeb Bush","2015-11-10 01:09:36Z","http://www.youtube.com/watch?v=iD27ZwTdylE","[]","[Jeb Bush]","[]","[]","[]","","","","","3","Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"64240207","YouTube","Marco Discusses The Election With Sean Hannity","2015-11-10 03:59:24Z","http://www.youtube.com/watch?v=PF7XTeJOfp8","[election]","[Sean Hannity]","[]","[]","[]","","","","","7","Sen. Rubio, Marco - (R – FL) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","Hispanic","1971-05-28","35-44","[Law]","","[State]"
"64249721","YouTube","Before The Phony Attacks","2015-11-10 11:54:59Z","http://www.youtube.com/watch?v=rf_xHVKvIEw","[attacks]","[Jeb Bush;Marco Rubio]","[]","[]","[]","","","","","21","Sen. Rubio, Marco - (R – FL) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","Hispanic","1971-05-28","35-44","[Law]","","[State]"
"64249971","YouTube","Who does Hillary fear the most?","2015-11-10 13:23:34Z","http://www.youtube.com/watch?v=pNWgaOxMxgc","[message;chip;positive message;strongest candidate]","[John Kasich]","[]","[America;Ohio]","[]","","","","","52","Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
"64253303","YouTube","Happy 240th Birthday to the U.S. Marine Corps!","2015-11-10 13:41:54Z","http://www.youtube.com/watch?v=EbNMuLDl09U","[birthday]","[]","[U.S. Marine Corps]","[]","[]","","","","","9","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"64278391","YouTube","Top 10 Things the Liberal Media Thinks are Important for Voters to Know about Ben Carson","2015-11-10 19:14:13Z","http://www.youtube.com/watch?v=cSoKUtDSlvc","[voters;parody;campaign staff]","[Ben Carson]","[]","[]","[]","","","","","54","Carson, Ben (R) Presidential Campaign ","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Black","1951-09-15","55-64","[Health Care - Physician]","",""
"64292067","YouTube","Sean Duffy: Marco Rubio Can Inspire The Country","2015-11-10 21:37:13Z","http://www.youtube.com/watch?v=IA5W7QBNHcw","[country;duffy]","[Marco Rubio]","[]","[The Country]","[]","","","","","8","Sen. Rubio, Marco - (R – FL) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","Hispanic","1971-05-28","35-44","[Law]","","[State]"
"64308183","YouTube","Christie: I'll Be Firing A Lot Of IRS Agents","2015-11-11 00:08:34Z","http://www.youtube.com/watch?v=rHp8cuG1Jbw","[firing;lot]","[]","[IRS]","[]","[]","","","","","9","Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"64308181","YouTube","Christie: Let The American People Win Once Again","2015-11-11 00:15:16Z","http://www.youtube.com/watch?v=ubWy5E8iY9o","[people;american people]","[]","[]","[]","[]","","","","","8","Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"64310315","YouTube","Christie: Hillary Clinton Is Coming For Your Wallet","2015-11-11 00:25:53Z","http://www.youtube.com/watch?v=8NVEt19KqhU","[wallet]","[Hillary Clinton]","[]","[]","[]","","","","","8","Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"64310313","YouTube","Christie: China Doesn't Take Us Seriously Now, They Will When I'm President","2015-11-11 00:35:18Z","http://www.youtube.com/watch?v=nII4Li-Kuqc","[]","[]","[]","[]","[]","","","","","12","Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"64310311","YouTube","Christie To Law Enforcement: When I’m President, I'll Have Your Back","2015-11-11 00:49:18Z","http://www.youtube.com/watch?v=IrxsOhJ7Rw0","[enforcement]","[]","[]","[]","[]","","","","","11","Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"64310309","YouTube","Christie: I've Vetoed More Tax Increases Than Any Governor, I Will Do The Same As President","2015-11-11 00:52:05Z","http://www.youtube.com/watch?v=l5XVbTJojy0","[tax;governor;tax increases]","[]","[]","[]","[Tax policies]","","","","","16","Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"64311875","YouTube","Christie: We Need A Commander-In-Chief Who Respects The Military And Everyone In Uniform","2015-11-11 01:12:50Z","http://www.youtube.com/watch?v=FGx0wUQsc8o","[everyone]","[]","[]","[]","[]","","","","","13","Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"64311873","YouTube","Remember This: I Will Go To Washington To Fight To Bring This Country Together","2015-11-11 01:17:51Z","http://www.youtube.com/watch?v=8IvblCgXtpU","[country]","[]","[]","[Washington]","[]","","","","","14","Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"64311889","YouTube","Fox Business Debate Closing Statement","2015-11-11 01:33:23Z","http://www.youtube.com/watch?v=jiHYQg1PNVs","[debate;closing;closing statement;debate closing]","[]","[]","[]","[]","","","","","16","Huckabee, Mike (R) Presidential Campaign ","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Protestant","White","1955-08-24","55-64","[Religious]","","[State]"
"64311731","YouTube","Gov. Jeb Bush: We Need to Repeal Every Obama Regulation. Every Single One.","2015-11-11 02:26:01Z","http://www.youtube.com/watch?v=uin24ok-5sk","[regulation;repeal]","[]","[]","[]","[]","","","","","13","Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
